id,name,region,industry,job_position,employment_type,skills_wanted,benefits,description,source_url,financial_health_rating,financial_health_detail,growth_potential,stability,salary_level,work_life_balance,keywords
"busanpay","부산페이(BusanPay)","부산 사상구","핀테크","백엔드 개발자|결제시스템 개발자|신입 개발자","정규직","Java|Spring|MySQL|API 설계|AWS","재택 근무 병행|자기계발비 지원|식대 지원|경조사 지원","부산페이는 지역 화폐·소상공인 결제 인프라를 만드는 핀테크 스타트업이다. 부산시와의 협력 사업으로 안정적인 매출 기반을 갖췄다. 신입 개발자를 위한 6개월 온보딩 프로그램을 운영한다.","","매우 안정","3년 연속 흑자, 지역 금융기관 투자 유치","5","4","4","4","핀테크|결제시스템|금융IT|백엔드|API|Java"
"centumdatalab","센텀데이터랩","부산 해운대구","IT·데이터","데이터 엔지니어|ML 엔지니어|신입 개발자","정규직","Python|SQL|Airflow|AWS|MLOps","자율 출퇴근|최신 장비 지원|컨퍼런스 참가비 지원","센텀데이터랩은 지역 금융사·유통사의 데이터 파이프라인을 구축하는 데이터 전문 기업이다. 금융권 프로젝트 비중이 높아 금융IT 경험을 쌓기 좋다. 해운대 센텀시티에 위치해 접근성이 좋다.","","성장 중","시리즈 A 투자 유치, 최근 2년 매출 2배 성장","5","3","4","3","데이터엔지니어링|MLOps|금융데이터|클라우드|Python"
"nakdongcommerce","낙동커머스","부산 사하구","커머스·플랫폼","프론트엔드 개발자|풀스택 개발자|신입 개발자","정규직","React|Node.js|PG 연동|TypeScript","자유복장|점심 식대 지원|리프레시 휴가","낙동커머스는 부산·경남 지역 소상공인 전용 이커머스 플랫폼을 운영한다. 자체 간편결제 PG 연동 모듈을 보유하고 있어 결제 도메인 경험을 쌓을 수 있다. 신입 개발자 비중이 높은 젊은 조직이다.","","안정","지역 이커머스 점유율 1위, 흑자 전환 완료","4","4","3","4","커머스|결제연동|PG|프론트엔드|React"
"busansmartcity","부산스마트시티랩","부산 연제구","공공IT·스마트시티","백엔드 개발자|GIS 엔지니어|신입 개발자","정규직","Java|Spring Boot|GIS|QGIS|PostgreSQL","정시 퇴근|공공기관 협업 경험|자격증 취득 지원","부산스마트시티랩은 부산시 스마트시티 통합 플랫폼을 개발·운영하는 공공IT 기업이다. Java/Spring 기반 백엔드 개발자를 지속적으로 채용한다. 워라밸이 뛰어난 편이다.","","매우 안정","부산시 위탁 사업 기반, 다년 계약 확보","3","5","3","5","스마트시티|GIS|공공데이터|백엔드|Java"
"busanportlogistics","부산항로지스틱스","부산 남구","물류·SCM","풀스택 개발자|물류시스템 개발자","정규직","Java|Vue|Oracle|SCM","통근버스 운영|명절 상여금|가족수당","부산항로지스틱스는 부산항 물동량 데이터를 기반으로 물류 최적화 시스템을 구축하는 기업이다. 안정적인 항만공사 협력 계약을 다수 보유하고 있다.","","안정","항만공사 협력사, 장기 계약 다수 보유","3","5","4","3","물류|SCM|항만|풀스택"
"dongnamprecision","동남정밀","부산 강서구","제조·스마트팩토리","임베디드 개발자|IoT 개발자","정규직","C++|IoT|임베디드리눅스","기숙사 지원|통근버스|명절 상여금","동남정밀은 자동차 부품 제조 공정에 스마트팩토리 솔루션을 도입한 제조 기업이다. 임베디드·IoT 개발자를 채용 중이다.","","안정","자동차 부품 수출 비중 높음, 20년 업력","3","4","3","2","스마트팩토리|IoT|임베디드|제조"
"haeundaegames","해운대게임즈","부산 해운대구","게임·콘텐츠","클라이언트 개발자|게임서버 개발자","정규직","Unity|C#|Node.js","자율 출퇴근|넥서스 게임 지원비|자유복장","해운대게임즈는 모바일 캐주얼 게임으로 흥행에 성공한 콘텐츠 기업이다. 클라이언트·서버 개발자를 채용 중이다.","","성장 중","모바일 게임 흥행으로 매출 급성장","4","2","3","3","게임|Unity|콘텐츠"
"busanbiolab","부산바이오랩","부산 기장군","바이오헬스","바이오인포매틱스 엔지니어|데이터 분석가","정규직","R|Python|통계분석","연구수당|학회 참가비 지원|건강검진 지원","부산바이오랩은 유전체 데이터를 분석하는 바이오헬스 스타트업이다. R&D 과제를 다수 수주해 성장 중이다.","","성장 중","정부 R&D 과제 다수 수주","4","3","3","3","바이오|헬스케어|데이터분석"
"sahafinpay","다대포페이먼츠","부산 사하구","핀테크","백엔드 개발자|결제시스템 개발자|신입 개발자","정규직","Kotlin|Spring Boot|Redis|MSA","재택 근무 병행|스톡옵션|자기계발비 지원","다대포페이먼츠는 소상공인 간편결제 인프라를 MSA 구조로 운영하는 핀테크 스타트업이다. 신입 개발자에게 결제 도메인 실무를 3개월 내 익힐 수 있는 온보딩을 제공한다.","","성장 중","벤처캐피탈 투자 유치, 가맹점 수 매년 2배 증가","5","3","4","3","핀테크|간편결제|MSA|백엔드|Kotlin"
"dongnaecloudworks","동래클라우드웍스","부산 동래구","클라우드·SaaS","백엔드 개발자|DevOps 엔지니어|신입 개발자","정규직","Go|Kubernetes|AWS|Terraform","자율 출퇴근|원격 근무 가능|장비 풀지원","동래클라우드웍스는 중견기업 대상 사내 협업 SaaS를 운영하는 클라우드 기업이다. Kubernetes 기반 인프라 자동화 경험을 쌓기 좋다.","","성장 중","국내 중견기업 대상 SaaS 공급, 매출 매년 증가","4","3","4","4","클라우드|SaaS|DevOps|백엔드"
