id,name,description,target_age_min,target_age_max,target_region,target_employment_status,deadline,application_url
"youth-tomorrow-fund","청년내일채움공제","중소기업에 재직 중인 청년의 장기근속과 자산형성을 함께 지원하는 제도예요. 일정 기간 근속하면 기업·정부 지원금이 더해져 목돈 마련이 가능해요.","15","34","전국","중소기업 재직 청년","","https://www.work.go.kr"
"national-employment-support","국민취업지원제도","구직촉진수당과 취업지원 서비스를 함께 제공하는 제도예요. 소득·재산 요건을 충족하면 구직활동 기간 동안 생계에 도움을 받을 수 있어요.","15","69","전국","미취업 청년","","https://www.workplus.go.kr"
"youth-leap-account","청년도약계좌","5년간 매달 일정 금액을 납입하면 정부 기여금과 비과세 혜택이 더해지는 청년 자산형성 상품이에요. 재직·구직 여부와 관계없이 신청할 수 있어요.","19","34","전국","제한 없음","","https://ylaccount.kinfa.or.kr"
"youth-rent-support","청년월세 특별지원","무주택 청년의 월세 부담을 줄이기 위해 매달 일정 금액을 지원하는 제도예요. 소득 기준을 충족하는 무주택 청년이 대상이에요.","19","34","전국","무주택 청년(소득 기준 충족)","2026-05-31","https://www.molit.go.kr"
"k-digital-training","K-디지털 트레이닝","IT 실무 역량을 키울 수 있는 무료 교육과 수료 후 취업 연계를 함께 제공해요. 개발·데이터 직무를 준비하는 구직 청년에게 특히 도움이 돼요.","18","39","전국","구직 중인 청년","","https://www.hrd.go.kr"
"busan-job-academy","부산청년취업사관학교","IT·제조 등 부산 지역 산업 수요에 맞춘 실무 교육을 제공하고, 수료 후 지역 우수기업 채용과 연계해주는 부산시 사업이에요.","18","34","부산","구직 중인 청년","2026-07-15","https://www.busan.go.kr"
"busan-stepping-stone-card","부산청년디딤돌카드","부산 소재 기업에 신규 취업한 청년에게 정착지원금을 지급하는 제도예요. 취업 후 일정 기간 근속하면 지원금을 받을 수 있어요.","19","34","부산","부산 소재 기업 신규 취업자","","https://www.busan.go.kr"
"busan-jobseeking-allowance","부산 청년 구직활동수당","부산에 거주하는 미취업 청년에게 구직활동에 필요한 비용을 매달 지원하는 제도예요.","18","34","부산","미취업 청년","","https://www.busan.go.kr"
"busan-jeonse-loan-interest","부산 청년 전세보증금 대출이자 지원","부산에 거주하는 청년의 전세자금 대출이자 일부를 지원해 주거 부담을 줄여주는 제도예요. 재직·구직 여부와 관계없이 신청할 수 있어요.","19","34","부산","제한 없음","","https://www.busan.go.kr"
"busan-startup-support","부산 청년 창업지원사업","부산 지역 예비 창업 청년에게 창업자금과 멘토링을 함께 지원하는 사업이에요.","18","39","부산","예비 창업자","2026-04-30","https://www.busan.go.kr"
"sasang-employment-incentive","사상구 청년 취업장려금","사상구 소재 기업에 신규 취업한 청년에게 지급하는 장려금이에요. 사상구 거주 청년을 우선 지원해요.","19","34","부산 사상구","사상구 소재 기업 신규 취업자","","https://www.bssasang.go.kr"
"haeundae-it-talent","해운대구 IT인재 육성사업","해운대구 소재 IT 기업 재직·구직 청년을 대상으로 교육비와 자격증 취득 비용을 지원하는 사업이에요.","20","35","부산 해운대구","재직 또는 구직 중인 청년","2026-09-30","https://www.haeundae.go.kr"
